metric,amsterdam,rotterdam,verschil_rot_minus_ams,verschil_pct
Totale eindtijd (sec),4677,4298,-379,-8.1
Totale looptijd (sec),2662,2371,-291,-10.93
Totale workouttijd (sec),1620,1580,-40,-2.47
Totale Roxzone (sec),395,347,-48,-12.15
Overall rank,378,98,-280,-74.07
Age-group rank,70,35,-35,-50.0
Run 1 (sec),246,299,53,21.54
Run 2 (sec),319,269,-50,-15.67
Run 3 (sec),340,294,-46,-13.53
Run 4 (sec),331,294,-37,-11.18
Run 5 (sec),347,294,-53,-15.27
Run 6 (sec),347,292,-55,-15.85
Run 7 (sec),351,301,-50,-14.25
Run 8 (sec),385,333,-52,-13.51
SkiErg (sec),262,283,21,8.02
Sled Push (sec),94,104,10,10.64
Sled Pull (sec),202,195,-7,-3.47
Burpee Broad Jump (sec),249,211,-38,-15.26
Row (sec),284,285,1,0.35
Farmers Carry (sec),89,84,-5,-5.62
Sandbag Lunges (sec),202,194,-8,-3.96
Wall Balls (sec),238,224,-14,-5.88
